Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
9.150;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;427;53;1;500;133;    ;0;150;88;1;150;116;    
9.185;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;427;53;1;500;133;    ;0;150;88;1;150;116;    
9.215;    ;1;228;48;1;88;45;    ;0;426;53;1;500;133;    ;0;150;88;1;150;116;    
9.251;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;426;53;1;500;133;    ;1;150;116;    
9.282;    ;1;228;48;1;88;45;    ;0;426;55;1;500;134;    ;0;150;88;1;150;116;    
9.314;    ;1;228;48;1;88;45;    ;0;426;55;1;500;134;    ;1;150;116;    
9.350;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;426;55;1;500;134;    ;1;150;116;    
9.383;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;425;55;1;500;136;    ;0;150;88;1;150;116;    
9.416;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;425;53;1;500;133;    ;0;150;88;1;150;116;    
9.453;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;424;53;1;500;133;    ;0;150;88;1;150;116;    
9.482;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;424;53;1;500;133;    ;0;150;88;1;150;116;    
9.515;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;423;55;1;500;134;    ;0;150;88;1;150;116;    
9.551;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;423;53;1;500;133;    ;0;150;88;1;150;116;    
9.584;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;422;53;1;500;133;    ;0;150;88;1;150;116;    
9.614;    ;1;228;48;1;88;45;    ;0;422;53;1;500;133;    ;0;150;88;1;150;116;    
9.650;    ;1;228;48;1;88;45;    ;0;422;53;1;500;133;    ;1;150;116;    
9.683;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;422;53;1;500;133;    ;1;150;116;    
9.713;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;421;55;1;500;136;    ;0;150;89;1;150;116;    
9.754;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;421;53;1;500;133;    ;0;150;88;1;150;116;    
9.783;    ;0;56;44;1;93;46;1;228;48;1;88;45;    ;0;420;53;1;500;133;    ;0;150;88;1;150;116;    
9.819;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;420;53;1;500;133;    ;0;150;88;1;150;116;    
9.856;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;419;53;1;500;133;    ;0;150;88;1;150;116;    
9.892;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;419;53;1;500;133;    ;0;150;88;1;150;116;    
9.921;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;418;53;1;500;133;    ;0;150;88;1;150;116;    
9.955;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;418;53;1;500;131;    ;0;150;88;1;150;116;    
9.981;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;417;53;1;500;131;    ;0;150;88;1;150;115;    
10.016;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;417;53;1;500;131;    ;0;150;88;1;150;115;    
10.055;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;416;53;1;500;133;    ;0;150;88;1;150;115;    
10.084;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;416;53;1;500;133;    ;0;150;88;1;150;116;    
10.118;    ;1;228;48;1;88;45;    ;0;415;53;1;500;133;    ;0;150;89;1;150;116;    
10.152;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;415;53;1;500;133;    ;1;150;116;    
10.190;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;415;53;1;500;133;    ;0;150;88;1;150;116;    
10.221;    ;1;228;48;1;88;45;    ;0;414;53;1;500;133;    ;0;150;88;1;150;116;    
10.254;    ;1;228;48;1;88;45;    ;0;414;53;1;500;133;    ;1;150;116;    
10.283;    ;1;228;48;1;88;45;    ;0;414;53;1;500;133;    ;1;150;116;    
10.318;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;414;53;1;500;133;    ;1;150;116;    
10.353;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;414;55;1;499;134;    ;0;150;88;1;150;116;    
10.388;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;413;53;1;500;133;    ;0;150;88;1;150;116;    
10.419;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;413;55;1;500;136;    ;0;150;88;1;150;116;    
10.457;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;412;55;1;500;136;    ;0;150;88;1;150;116;    
10.488;    ;1;228;48;1;88;45;    ;0;412;55;1;500;136;    ;0;150;88;1;150;116;    
10.519;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;412;55;1;500;136;    ;1;150;116;    
10.552;    ;1;228;48;1;88;45;    ;0;411;53;1;500;131;    ;0;150;88;1;150;116;    
10.588;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;411;53;1;500;131;    ;1;150;116;    
10.618;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;411;53;1;500;133;    ;0;150;87;1;150;116;    
10.657;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;410;53;1;500;133;    ;0;150;87;1;150;116;    
10.684;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;410;53;1;500;133;    ;0;150;87;1;150;116;    
10.716;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;409;53;1;500;133;    ;0;150;88;1;150;116;    
10.750;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;409;53;1;500;133;    ;0;150;89;1;150;116;    
10.782;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;408;55;1;500;136;    ;0;150;88;1;150;116;    
