Time (s);    ;car_position;   ;input;    ;command;   ;treadmill;     ;obstacles;
9.082;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
9.119;    ;0;664;63;9;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
9.151;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
9.184;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
9.220;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
9.251;    ;0;664;63;11;0;0;1;660;144;3;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
9.283;    ;0;664;63;9;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;110;    ;353;190;90;33;114;191;272;349;    ;
9.319;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
9.351;    ;0;664;63;5;0;0;1;660;144;0;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
9.382;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;91;1;0;107;    ;353;190;90;33;114;192;272;349;    ;
9.420;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;194;272;349;    ;
9.451;    ;0;664;63;8;0;0;1;660;144;1;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
9.483;    ;0;664;63;8;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;108;    ;353;190;90;33;114;194;272;350;    ;
9.517;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;113;    ;353;190;90;33;114;192;272;349;    ;
9.552;    ;0;664;63;3;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
9.583;    ;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;113;    ;353;190;90;33;114;192;272;349;    ;
9.625;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
9.652;    ;0;664;63;8;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
9.681;    ;0;664;63;8;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;113;    ;353;190;90;33;114;191;272;348;    ;
9.719;    ;0;664;63;10;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
9.750;    ;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
9.783;    ;0;664;63;7;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;109;    ;353;190;90;33;114;191;272;349;    ;
9.821;    ;0;664;63;9;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
9.851;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
9.883;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
9.920;    ;0;664;63;11;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
9.951;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;113;    ;353;190;90;33;114;191;272;349;    ;
9.983;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
10.020;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
10.052;    ;0;664;63;9;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
10.085;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
10.123;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
10.155;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
10.180;    ;0;664;63;11;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
10.215;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;113;    ;353;190;90;33;114;191;272;349;    ;
10.252;    ;0;664;63;9;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
10.283;    ;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;111;    ;353;190;90;33;114;191;272;351;    ;
10.320;    ;0;664;63;5;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
10.351;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;91;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
10.383;    ;0;664;63;8;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;350;    ;
10.420;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;109;    ;353;190;90;33;114;192;272;349;    ;
10.452;    ;0;664;63;1;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
10.481;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;87;1;0;109;    ;353;190;90;33;114;192;272;349;    ;
10.516;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
10.549;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
10.582;    ;0;664;63;9;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;350;    ;
10.616;    ;0;664;63;8;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
10.652;    ;0;664;63;6;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;109;    ;353;190;90;33;114;191;272;349;    ;
10.683;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;92;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
10.719;    ;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
10.752;    ;0;664;63;7;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
10.782;    ;0;664;63;9;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
10.819;    ;0;664;63;6;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
10.851;    ;0;664;63;11;0;0;1;660;144;7;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;92;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
10.884;    ;0;664;63;4;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;114;    ;353;190;90;33;114;191;272;349;    ;
10.919;    ;0;664;63;4;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;90;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
10.952;    ;0;664;63;10;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;90;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
10.982;    ;0;664;63;8;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
11.016;    ;0;664;63;6;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
11.050;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;92;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
11.084;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
11.118;    ;0;664;63;6;0;0;1;660;144;3;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
11.151;    ;0;664;63;9;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;92;1;0;110;    ;353;190;90;33;114;192;272;349;    ;
11.183;    ;0;664;63;9;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
11.218;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;113;    ;353;190;90;33;114;191;272;349;    ;
11.251;    ;0;664;63;9;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
11.282;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;109;    ;353;190;90;33;114;192;272;349;    ;
11.320;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
11.350;    ;0;664;63;8;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;349;    ;
11.383;    ;0;664;63;8;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;109;    ;353;190;90;33;114;191;272;349;    ;
11.420;    ;0;664;63;5;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;109;    ;353;190;90;33;114;191;272;348;    ;
11.451;    ;0;664;63;5;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;91;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
11.483;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;91;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
11.519;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
11.548;    ;0;664;63;10;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
11.582;    ;0;664;63;9;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
11.622;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;112;    ;353;190;90;33;114;191;272;    ;
11.651;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;    ;
11.683;    ;0;664;63;11;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
11.720;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;113;    ;353;190;90;33;114;191;272;349;    ;
11.751;    ;0;664;63;4;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
11.783;    ;0;664;63;11;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;90;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
11.820;    ;0;664;63;11;0;0;1;660;144;7;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;113;    ;353;190;90;33;114;191;272;348;    ;
11.851;    ;0;664;63;7;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;114;    ;353;190;90;33;114;191;272;349;    ;
11.889;    ;0;664;63;10;0;0;1;660;144;7;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
11.917;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;114;    ;353;190;90;33;114;191;272;349;    ;
11.949;    ;0;664;63;10;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
11.983;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
12.018;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
12.051;    ;0;664;63;10;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
12.083;    ;0;664;63;3;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
12.118;    ;0;664;63;7;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
12.151;    ;0;664;63;5;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
12.183;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;91;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
12.218;    ;0;664;63;2;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
12.252;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;88;1;0;113;    ;353;190;90;33;114;192;272;349;    ;
12.283;    ;0;664;63;5;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;192;272;348;    ;
12.318;    ;0;664;63;8;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;91;1;0;113;    ;353;190;90;33;114;192;272;348;    ;
12.351;    ;0;664;63;8;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;109;    ;353;190;90;33;114;192;272;348;    ;
12.383;    ;0;664;63;9;0;0;1;660;144;1;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
12.419;    ;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;108;    ;353;190;90;33;114;191;272;349;    ;
12.451;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
12.481;    ;0;664;63;7;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
12.519;    ;0;664;63;8;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
12.551;    ;0;664;63;8;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
12.585;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;109;    ;353;190;90;33;114;191;272;349;    ;
12.619;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
12.654;    ;0;664;63;9;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
12.683;    ;0;664;63;11;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
12.720;    ;0;664;63;9;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;113;    ;353;190;90;33;114;191;272;349;    ;
12.751;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
12.783;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
12.819;    ;0;664;63;7;0;0;1;660;144;7;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
12.851;    ;0;664;63;7;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;114;    ;353;190;90;33;114;191;272;350;    ;
12.882;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
12.919;    ;0;664;63;4;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
12.950;    ;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;90;1;0;113;    ;353;190;90;33;114;191;272;349;    ;
12.983;    ;0;664;63;5;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.020;    ;0;664;63;10;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;91;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.051;    ;0;664;63;9;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.082;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;111;    ;353;190;90;33;114;191;272;348;    ;
13.119;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.153;    ;0;664;63;8;0;0;1;660;144;3;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.183;    ;0;664;63;10;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;110;    ;353;190;90;33;114;191;272;349;    ;
13.218;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;113;    ;353;190;90;33;114;191;272;349;    ;
13.251;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.284;    ;0;664;63;3;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;348;    ;
13.319;    ;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;113;    ;353;190;90;33;114;191;272;350;    ;
13.351;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.382;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.419;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.447;    ;0;664;63;3;0;0;1;660;144;3;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.477;    ;0;664;63;9;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;110;    ;353;190;90;33;114;191;272;349;    ;
13.512;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;113;    ;353;190;90;33;114;191;272;350;    ;
13.544;    ;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.583;    ;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
13.619;    ;0;664;63;9;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.650;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.683;    ;0;664;63;11;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.718;    ;0;664;63;7;0;0;1;660;144;6;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;111;    ;353;190;90;33;114;191;272;348;    ;
13.751;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;113;    ;353;190;90;33;114;191;272;349;    ;
13.783;    ;0;664;63;9;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
13.819;    ;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;95;1;0;111;    ;353;190;90;33;114;191;272;348;    ;
13.850;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
13.883;    ;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
13.919;    ;0;664;63;3;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;1;0;111;    ;353;190;90;33;114;191;272;350;    ;
13.951;    ;0;664;63;7;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
13.983;    ;0;664;63;7;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
14.019;    ;0;664;63;10;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;93;1;0;112;    ;353;190;90;33;114;191;272;349;    ;
14.051;    ;0;664;63;10;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
14.082;    ;0;664;63;11;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;111;    ;353;190;90;33;114;191;272;348;    ;
14.111;    ;0;664;63;8;0;0;1;660;144;1;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;97;1;0;112;    ;353;190;90;33;114;191;272;348;    ;
14.147;    ;0;664;63;10;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;108;    ;353;190;90;33;114;191;272;349;    ;
14.180;    ;0;664;63;8;0;0;1;660;144;2;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;96;1;0;112;    ;353;190;90;33;114;191;272;350;    ;
14.216;    ;0;664;63;3;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;109;    ;353;190;90;33;114;191;272;348;    ;
14.247;    ;0;664;63;8;0;0;1;660;144;4;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;89;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
14.279;    ;0;664;63;9;0;0;1;660;144;5;0;0;    ;0;500;74;1;500;152;2;500;74;    ;0;0;94;1;0;111;    ;353;190;90;33;114;191;272;349;    ;
